POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
3016,Drammen,Meglerhuset,8,11
3019,Drammen,Meglerhuset,8,11
3033,Drammen,Meglerhuset,8,11
3038,Drammen,Meglerhuset,8,11
3039,Drammen,Meglerhuset,8,11
3037,Drammen,Meglerhuset,8,11
3045,Drammen,Meglerhuset,8,11
3024,Drammen,Meglerhuset,8,11
3012,Drammen,Meglerhuset,8,11
3042,Drammen,Meglerhuset,8,11
3615,Drammen,Meglerhuset,8,11
3610,Drammen,Meglerhuset,8,11
3058,Drammen,Meglerhuset,8,11
3057,Drammen,Meglerhuset,8,11
3530,Drammen,Meglerhuset,8,11
3359,Drammen,Meglerhuset,8,11
3358,Drammen,Meglerhuset,8,11
3013,Drammen,Meglerhuset,8,11
3026,Drammen,Meglerhuset,8,11
3478,Drammen,Meglerhuset,8,11
3430,Drammen,Meglerhuset,8,11
3618,Drammen,Meglerhuset,8,11
3490,Drammen,Meglerhuset,8,11
3410,Drammen,Meglerhuset,8,11
3090,Drammen,Meglerhuset,8,11
3092,Drammen,Meglerhuset,8,11
3015,Drammen,Meglerhuset,8,11
3075,Drammen,Meglerhuset,8,11
3474,Drammen,Meglerhuset,8,11
3475,Drammen,Meglerhuset,8,11
3440,Drammen,Meglerhuset,8,11
3477,Drammen,Meglerhuset,8,11
3472,Drammen,Meglerhuset,8,11
3470,Drammen,Meglerhuset,8,11
3340,Drammen,Meglerhuset,8,11
3053,Drammen,Meglerhuset,8,11
3484,Drammen,Meglerhuset,8,11
3483,Drammen,Meglerhuset,8,11
3482,Drammen,Meglerhuset,8,11
3025,Drammen,Meglerhuset,8,11
3022,Drammen,Meglerhuset,8,11
3032,Drammen,Meglerhuset,8,11
3035,Drammen,Meglerhuset,8,11
3044,Drammen,Meglerhuset,8,11
3023,Drammen,Meglerhuset,8,11
3027,Drammen,Meglerhuset,8,11
3048,Drammen,Meglerhuset,8,11
3040,Drammen,Meglerhuset,8,11
3030,Drammen,Meglerhuset,8,11
3029,Drammen,Meglerhuset,8,11
3322,Drammen,Meglerhuset,8,11
3028,Drammen,Meglerhuset,8,11
